10,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ Punggol Plaza,"168 Punggol Field Rd, Punggol Plaza, #03-01/02, Singapore 820168",168,"Punggol Field Rd, Punggol Plaza, #03-01/02, Singapore 820168","Punggol Plaza, #03-01/02",Store/building operating hours,820168,1.39425629780831,103.913043510411,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,Recycle (for e-waste),"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",,
11,ALBA E-waste Smart Recycling Pte Ltd,Mr. DIY @ Toa Payoh,"192 Toa Payoh Lor 4, #02-674, Singapore 310192",192,"Toa Payoh Lor 4, #02-674, Singapore 310192","192 Toa Payoh Lor 4, #02-674",Store/building operating hours,310192,1.33169008196203,103.850619807010,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,Recycle (for e-waste),"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",,
12,ALBA E-waste Smart Recycling Pte Ltd,Mr. DIY @ Boon Lay Shopping Centre,"221 Boon Lay Place, Boon Lay Shopping Complex, #02-164, Singapore 640221",221,"Boon Lay Place, Boon Lay Shopping Complex, #02-164, Singapore 640221","Boon Lay Shopping Complex, #02-164",Store/building operating hours,640221,1.34633552457315,103.712430373455,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,Recycle (for e-waste),"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",,
13,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ 231 Sumang Lane,"231 Sumang Lane, #01-02, Singapore 820231",231,"Sumang Lane, #01-02, Singapore 820231","231 Sumang Lane, #01-02",Store/building operating hours,820231,1.40205998268188,103.892211658905,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,Recycle (for e-waste),"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",,
14,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ 253 Serangoon Central Dr,"253 Serangoon Central Dr, #01-241, Singapore 550253",253,"Serangoon Central Dr, #01-241, Singapore 550253","253 Serangoon Central Dr, #01-241",Store/building operating hours,550253,1.35368269478836,103.870913317584,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,Recycle (for e-waste),"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",,
15,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ 279 Bishan St 24,"279 Bishan St 24, #01-62/64, Singapore 570279",279,"Bishan St 24, #01-62/64, Singapore 570279","279 Bishan St 24, #01-62/64",Store/building operating hours,570279,1.35722283090964,103.843785252615,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,Recycle (for e-waste),"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",,
16,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ 29A Ghim Moh Link,"29A Ghim Moh Link, #01-01, Singapore 271029",29A,"Ghim Moh Link, #01-01, Singapore 271029","29A Ghim Moh Link, #01-01",Store/building operating hours,271029,1.30859676574975,103.784545203331,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,Recycle (for e-waste),"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",,
17,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ 301 Punggol Central,"301 Punggol Central, #01-01, Singapore 820301",301,"Punggol Central, #01-01, Singapore 820301","301 Punggol Central, #01-01",Store/building operating hours,820301,1.40371939757402,103.906138006707,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,Recycle (for e-waste),"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",,
18,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ Sumang Link,"312A Sumang Link, #01-04, Singapore 821312",312A,"Sumang Link, #01-04, Singapore 821312","312A Sumang Link, #01-04",Store/building operating hours,821312,1.41081926900094,103.900371677782,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,Recycle (for e-waste),"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",,
19,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ Anchorvale,"338 Anchorvale Crescent, #01-11, Singapore 540338",338,"Anchorvale Crescent, #01-11, Singapore 540338","338 Anchorvale Crescent, #01-11",Store/building operating hours,540338,1.39922772538912,103.889655930610,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,Recycle (for e-waste),"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",,
20,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ 351 Anchorvale Road,"351 Anchorvale Road, #01-05, Singapore 540351",351,"Anchorvale Road, #01-05, Singapore 540351","351 Anchorvale Road, #01-05",Store/building operating hours,540351,1.39332786581517,103.886617625113,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,Recycle (for e-waste),"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",,
21,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ 355 Sembawang Way,"355 Sembawang Way, #01-01, Singapore 750355",355,"Sembawang Way, #01-01, Singapore 750355","355 Sembawang Way, #01-01",Store/building operating hours,750355,1.44954310814644,103.818726323556,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,Recycle (for e-waste),"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",,
