id,organisation_name,channel_name,address,block_number,street_name,building_name,postcode,latitude,longitude,operating_hours,contact,website,categories_accepted,type,remarks,channel_of_reuse,
0,Repair Kopitiam,Repair Kopitiam @ Tampines,"1 Tampines Walk, Our Tampines Hub, Singapore 528523",1,Tampines Walk,Our Tampines Hub,528523,-1.00000000000000,-1.000000000000,"Every last Sunday of the month, 10am to 4pm",,,"ICT equipment, Other electrical appliances, Clothing, Furniture, Toys, Household goods",In need of repair,"television, printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, ovens, toasters, rice cookers, irons, Shirts, shorts, skirts, pants, blouses, dolls, board games, soft toys, toy cars, sofas, beds, tables, chairs",Repair,
1,Repair Kopitiam,Repair Kopitiam @ Coral Ris,"565 Pasir Ris St 51, Singapore 510565",565,Pasir Ris St 51,,510565,1.36882713986152,103.950296238717,"Every last Sunday of the month, 10am to 4pm",,https://repairkopitiam.sg/,"ICT equipment, Other electrical appliances, Clothing, Furniture, Toys, Household goods",In need of repair,"television, printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, ovens, toasters, rice cookers, irons, Shirts, shorts, skirts, pants, blouses, dolls, board games, soft toys, toy cars, sofas, beds, tables, chairs",Repair,
2,Repair Kopitiam,Repair Kopitiam @ Yuhua,"223A Jurong East St 21, Yu Hua RC Zone 4, Singapore 601223",223A,Jurong East St 21,,601223,1.34137215264820,103.736754200548,"Every last Sunday of the month, 10am to 4pm",,https://repairkopitiam.sg/,"ICT equipment, Other electrical appliances, Clothing, Furniture, Toys, Household goods",In need of repair,"television, printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, ovens, toasters, rice cookers, irons, Shirts, shorts, skirts, pants, blouses, dolls, board games, soft toys, toy cars, sofas, beds, tables, chairs",Repair,
3,Repair Kopitiam,Repair Kopitiam @ AMK,"309A Ang Mo Kio Ave 1, Teck Ghee Ville RN, Singapore 563309",309A,Ang Mo Kio Ave 1,,563309,1.36464745641191,103.846310013514,"Every last Sunday of the month, 10am to 4pm",,https://repairkopitiam.sg/,"ICT equipment, Other electrical appliances, Clothing, Furniture, Toys, Household goods",In need of repair,"Television, printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, ovens, toasters, rice cookers, irons, Shirts, shorts, skirts, pants, blouses, dolls, board games, soft toys, toy cars, sofas, beds, tables, chairs",Repair,
4,Repair Kopitiam,Repair Kopitiam @ Choa Chu Kang,"35 Teck Whye Ave, Choa Chu Kang CC, Singapore 688892",35,Teck Whye Ave,Choa Chu Kang CC,688892,1.38115529117059,103.751903879838,"Every last Sunday of the month, 10am to 4pm",,https://repairkopitiam.sg/,"ICT equipment, Other electrical appliances, Clothing, Furniture, Toys, Household goods",In need of repair,"television, printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, ovens, toasters, rice cookers, irons, Shirts, shorts, skirts, pants, blouses, dolls, board games, soft toys, toy cars, sofas, beds, tables, chairs",Repair,
5,ALBA E-waste Smart Recycling Pte Ltd,Punggol Clover RN,"204A  204A Punggol Field, Punggol Clover RN, #01-288, Void Deck, Singapore 821204",204A,204A Punggol Field,"Punggol Clover RN, #01-288, Void Deck",821204,1.39877827554853,103.902910892565,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Large Household Appliance, Portable Portable batteries, Lamps",Spoilt beyond repair,"refrigerators, air-conditioners, washing machines, clothes dryers, televisions, personal mobility devices, power assisted bicycles, electric mobility scooters, printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
6,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ Bukit Panjang Plaza,"1 Jelebu Rd, Bukit Panjang Plaza, #01-15 & #02-20 , Singapore 677743",1,"Jelebu Rd, Bukit Panjang Plaza, #01-15 & #02-20 , Singapore 677743","Bukit Panjang Plaza, #01-15 & #02-20",677743,1.37992045176243,103.764357180314,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
7,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ Jurong Point 1,"1 Jurong West Central 2, Jurong Point 1, #B1-09 , Singapore 648886",1,"Jurong West Central 2, Jurong Point 1, #B1-09 , Singapore 648886","Jurong Point 1, #B1-09",648886,1.33945200436319,103.706685012654,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
8,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ Canberra Plaza,"133 Canberra View, Canberra Plaza, #B1-03/04, Singapore 750133",133,"Canberra View, Canberra Plaza, #B1-03/04, Singapore 750133","Canberra Plaza, #B1-03/04",750133,1.44349544527985,103.830345369213,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
9,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ 152B Serangoon Ave 4,"152B Serangoon North Ave 1, #01-384, Singapore 552152",152B,"Serangoon North Ave 1, #01-384, Singapore 552152","152B Serangoon North Ave 1, #01-384",552152,1.36979941551155,103.873035824458,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
10,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ Punggol Plaza,"168 Punggol Field Rd, Punggol Plaza, #03-01/02, Singapore 820168",168,"Punggol Field Rd, Punggol Plaza, #03-01/02, Singapore 820168","Punggol Plaza, #03-01/02",820168,1.39425629780831,103.913043510411,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
11,ALBA E-waste Smart Recycling Pte Ltd,Mr. DIY @ Toa Payoh,"192 Toa Payoh Lor 4, #02-674, Singapore 310192",192,"Toa Payoh Lor 4, #02-674, Singapore 310192","192 Toa Payoh Lor 4, #02-674",310192,1.33169008196203,103.850619807010,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
12,ALBA E-waste Smart Recycling Pte Ltd,Mr. DIY @ Boon Lay Shopping Centre,"221 Boon Lay Place, Boon Lay Shopping Complex, #02-164, Singapore 640221",221,"Boon Lay Place, Boon Lay Shopping Complex, #02-164, Singapore 640221","Boon Lay Shopping Complex, #02-164",640221,1.34633552457315,103.712430373455,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
13,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ 231 Sumang Lane,"231 Sumang Lane, #01-02, Singapore 820231",231,"Sumang Lane, #01-02, Singapore 820231","231 Sumang Lane, #01-02",820231,1.40205998268188,103.892211658905,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
14,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ 253 Serangoon Central Dr,"253 Serangoon Central Dr, #01-241, Singapore 550253",253,"Serangoon Central Dr, #01-241, Singapore 550253","253 Serangoon Central Dr, #01-241",550253,1.35368269478836,103.870913317584,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
15,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ 279 Bishan St 24,"279 Bishan St 24, #01-62/64, Singapore 570279",279,"Bishan St 24, #01-62/64, Singapore 570279","279 Bishan St 24, #01-62/64",570279,1.35722283090964,103.843785252615,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
16,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ 29A Ghim Moh Link,"29A Ghim Moh Link, #01-01, Singapore 271029",29A,"Ghim Moh Link, #01-01, Singapore 271029","29A Ghim Moh Link, #01-01",271029,1.30859676574975,103.784545203331,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
17,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ 301 Punggol Central,"301 Punggol Central, #01-01, Singapore 820301",301,"Punggol Central, #01-01, Singapore 820301","301 Punggol Central, #01-01",820301,1.40371939757402,103.906138006707,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
18,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ Sumang Link,"312A Sumang Link, #01-04, Singapore 821312",312A,"Sumang Link, #01-04, Singapore 821312","312A Sumang Link, #01-04",821312,1.41081926900094,103.900371677782,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
19,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ Anchorvale,"338 Anchorvale Crescent, #01-11, Singapore 540338",338,"Anchorvale Crescent, #01-11, Singapore 540338","338 Anchorvale Crescent, #01-11",540338,1.39922772538912,103.889655930610,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
20,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ 351 Anchorvale Road,"351 Anchorvale Road, #01-05, Singapore 540351",351,"Anchorvale Road, #01-05, Singapore 540351","351 Anchorvale Road, #01-05",540351,1.39332786581517,103.886617625113,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
21,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ 355 Sembawang Way,"355 Sembawang Way, #01-01, Singapore 750355",355,"Sembawang Way, #01-01, Singapore 750355","355 Sembawang Way, #01-01",750355,1.44954310814644,103.818726323556,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
22,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ 414 Yishun Ring Rd,"414 Yishun Ring Rd, #01-185, Singapore 760414",414,"Yishun Ring Rd, #01-185, Singapore 760414","414 Yishun Ring Rd, #01-185",760414,1.42452849112151,103.846595547290,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
23,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ Fernvale Link,"417 Fernvale Link, #01-11, Singapore 790417",417,"Fernvale Link, #01-11, Singapore 790417","417 Fernvale Link, #01-11",790417,1.39158622983505,103.879874611419,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
24,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ 455 Sengkang,"455 Sengkang West Avenue, #01-16, Singapore 790455",455,"Sengkang West Avenue, #01-16, Singapore 790455","455 Sengkang West Avenue, #01-16",790455,1.39183688254074,103.871190376558,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
25,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ Fernvale St,"473 Fervale Street, #01-06, Singapore 790473",473,"Fervale Street, #01-06, Singapore 790473","473 Fervale Street, #01-06",790473,1.39779874741053,103.881698806174,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
26,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ 476 Upper Serangoon View,"476 Upper Serangoon View, #02-18, Singapore 530476",476,"Upper Serangoon View, #02-18, Singapore 530476","476 Upper Serangoon View, #02-18",530476,1.37743006723556,103.903712863793,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
27,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ 511 Canberra Rd,"511 Canberra Rd, #02-03, Singapore 750511",511,"Canberra Rd, #02-03, Singapore 750511","511 Canberra Rd, #02-03",750511,1.45361014432056,103.819625588635,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
28,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ Edgedale Plains,"660A Edgedale Plains, #01-01, Singapore 821660",660A,"Edgedale Plains, #01-01, Singapore 821660","660A Edgedale Plains, #01-01",821660,1.40262197348865,103.916519598298,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
29,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ 675 Yishun,"675 Yishun Avenue 4, #01-10, Singapore 760675",675,"Yishun Avenue 4, #01-10, Singapore 760675","675 Yishun Avenue 4, #01-10",760675,1.42006293748965,103.843561434577,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
30,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ 683 Hougang Ave 4,"682 Hougang Ave 4, #01-310, Singapore 530682",682,"Hougang Ave 4, #01-310, Singapore 530682","682 Hougang Ave 4, #01-310",530682,1.37361587694624,103.885758919948,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
31,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ 808 French Rd,"808 French Rd #01-01, #01-01, Singapore 200808",808,"French Rd #01-01, #01-01, Singapore 200808","808 French Rd #01-01, #01-01",200808,1.30883002147893,103.861354748625,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
32,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ 845 Yishun,"845 Yishun Street 81, #01-184, Singapore 760845",845,"Yishun Street 81, #01-184, Singapore 760845","845 Yishun Street 81, #01-184",760845,1.41607940424900,103.835019190337,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
33,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ 849 Yishun Ring Rd,"849 Yishun Ring Rd, #01-370, Singapore 760849",849,"Yishun Ring Rd, #01-370, Singapore 760849","849 Yishun Ring Rd, #01-370",760849,1.41694352843695,103.835284253761,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
34,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ 925 Yishun Central,"925 Yishun Central 1, #01-211, Singapore 760925",925,"Yishun Central 1, #01-211, Singapore 760925","925 Yishun Central 1, #01-211",760925,1.42750549654333,103.837125284539,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
35,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ Zhong Shan Park,"20 Ah Hood Rd, Zhong Shan Park, #02-01, Singapore 329984",20,Ah Hood Rd,"Zhong Shan Park, #02-01",329984,1.32694504456951,103.846554377679,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
36,ALBA E-waste Smart Recycling Pte Ltd,Zhongshan Mall,"20 Ah Hood Road, Zhongshan Mall, Singapore 329984",20,Ah Hood Road,Zhongshan Mall,329984,1.32694504456951,103.846554377679,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
37,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ Terminal 3,"65 Airport Boulevard, Changi Airport Terminal 3, #B2-10 , Singapore 819663",65,Airport Boulevard,"Changi Airport Terminal 3, #B2-10",819663,1.35556855805419,103.985852088983,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
38,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ Jewel Changi Airport,"78 Airport Boulevard, Jewel Changi Airport, #B2-205 to 208, Singapore 819666",78,Airport Boulevard,"Jewel Changi Airport, #B2-205 to 208",819666,1.36006289399606,103.989989170512,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
39,ALBA E-waste Smart Recycling Pte Ltd,Apple @ Jewel,"78 Airport Boulevard, Jewel, #02-234, Singapore 819666",78,Airport Boulevard,"Jewel, #02-234",819666,1.36006289399606,103.989989170512,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
40,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ 460 Alexandra Rd,"460 Alexandra Rd, 460 Alexandra Rd, #01-09 And #01-16 , Singapore 119963",460,Alexandra Rd,"460 Alexandra Rd, #01-09 And #01-16",119963,1.27355689047152,103.801714113944,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
41,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ 12 Alexandra View,"12 Alexandra View, #01-18, Singapore 158736",12,Alexandra View,"12 Alexandra View, #01-18",158736,1.29012765494819,103.816552347869,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
42,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ 118 Aljunied,"118 Aljunied Ave 2, #01-100, Main Entrance, Singapore 380118",118,Aljunied Ave 2,"118 Aljunied Ave 2, #01-100, Main Entrance",380118,1.32004897700545,103.887406611675,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
43,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ 114 Aljunied Ave 2,"114 Aljunied Ave 2, #01-75, Singapore 380114",114,Aljunied Ave 2,"114 Aljunied Ave 2, #01-75",380114,1.32172455192598,103.886807110468,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
44,ALBA E-waste Smart Recycling Pte Ltd,Anchorvale CC,"59 Anchorvale Road, Anchorvale Community Club, Main Lobby, Singapore 544965",59,Anchorvale Road,"Anchorvale Community Club, Main Lobby",544965,1.39708329792574,103.886694240478,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
