id,organisation_name,channel_name,address,block_number,street_name,building_name,postcode,latitude,longitude,operating_hours,contact,website,categories_accepted,type,remarks,channel_of_reuse,
149,ALBA E-waste Smart Recycling Pte Ltd,Best Denki @ The Clementi Mall,"3155 Commonwealth Avenue West, The Clementi Mall, #04-46/47/48/49, In-Store, Singapore 129588",3155,Commonwealth Avenue West,"The Clementi Mall, #04-46/47/48/49, In-Store",129588,1.31516190830250,103.764711789372,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
150,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ The Clementi Mall,"3155 Commonwealth Avenue West, The Clementi Mall, #B1-12 , Singapore 129588",3155,Commonwealth Avenue West,"The Clementi Mall, #B1-12",129588,1.31516190830250,103.764711789372,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
151,ALBA E-waste Smart Recycling Pte Ltd,Compassvale Southgate RC,"201B Compassvale Drive, Compassvale Southgate RC, #01-545, Void Deck, Singapore 542201",201B,Compassvale Drive,"Compassvale Southgate RC, #01-545, Void Deck",542201,1.38831311571148,103.893923639861,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
152,ALBA E-waste Smart Recycling Pte Ltd,Compassvale Villa RC,"206C Compassvale Lane, Compassvale Villa RC, Void Deck, Singapore 543206",206C,Compassvale Lane,"Compassvale Villa RC, Void Deck",543206,1.38681829811425,103.897547410011,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
153,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ Compassvale Link,"277C Compassvale Link, #01-13, Singapore 544277",277C,Compassvale Link,"277C Compassvale Link, #01-13",544277,1.38183345894478,103.893909396228,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
154,ALBA E-waste Smart Recycling Pte Ltd,Cross Street Exchange,"18 Cross Street, B1 Customer Service Counter, Singapore 48423",18,Cross Street,"Cross Street Exchange, B1 Customer Service Counter",48423,-1.00000000000000,-1.000000000000,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
155,ALBA E-waste Smart Recycling Pte Ltd,Dawson Place,"57 Dawson Rd, Dawson Place, Singapore 142057",57,Dawson Rd,Dawson Place,142057,1.29270339855062,103.810958956467,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
156,ALBA E-waste Smart Recycling Pte Ltd,Fairprice @ Dawson Place,"57 Dawson Rd, Dawson Place, #01-07 , Singapore 142057",57,Dawson Rd,"Dawson Place, #01-07",142057,1.29270339855062,103.810958956467,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
157,ALBA E-waste Smart Recycling Pte Ltd,Sheng Siong @ Dawson,"85 Dawson Road, #01-01 , Singapore 141085",85,Dawson Road,"85 Dawson Road, #01-01",141085,1.29531966312622,103.809758591447,Store/building operating hours,31051608,https://alba-ewaste.sg,"ICT equipment, Portable batteries, Lamps",Spoilt beyond repair,"printers, computers, laptops, tablets, desktop monitors, servers, routers, modems, wireless access points, set-top boxes, switches, network hubs, mobile telephones, alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
158,ALBA E-waste Smart Recycling Pte Ltd,Hewlett-Packard @ HP Enterprise,"1 Depot Close, HP Enterprise, Singapore 109841",1,Depot Close,HP Enterprise,109841,1.28243134865963,103.805032354627,Store/building operating hours,31051608,https://alba-ewaste.sg,"Portable batteries, Lamps",Spoilt beyond repair,"alkaline batteries, rechargeable batteries, power banks, portable charger, light bulbs, long fluorescent tubes",Recycle (for e-waste),
