postcode,block_number,latitude,longitude
93003,3,1.3068,103.88291
531962,962,1.37794,103.87813
541207,207,1.38546,103.89814
143046,46,1.29875,103.79779
142046,46,1.29907,103.79798
140462,462,1.30016,103.79814
1002,2,1.3202,103.90319
752484,484,1.45673,103.81521
530460,460,1.37326,103.89463
320039,39,1.32719,103.85612
163010,10,1.28684,103.83867
573505,505,1.34865,103.84876
570508,508,1.34875,103.84922
574505,505,1.34907,103.84898
151106,106,1.28899,103.82235
732588,588,1.42827,103.79502
380046,46,1.31758,103.87879
320040,40,1.32729,103.85622
570509,509,1.34852,103.84954
572505,505,1.3487,103.84853
320049,49,1.32766,103.85637
162042,42,1.28911,103.82629
671171,171,1.37921,103.76637
150080,80,1.28781,103.81878
731575,575,1.43152,103.79703
570512,512,1.34962,103.84988
160119,119,1.28181,103.82776
750507,507,1.452,103.82356
141153,153,1.29392,103.80295
320041,41,1.32701,103.85657
162048,48,1.28987,103.82632
3001,1,1.27719,103.84026
671471,471,1.38816,103.77315
510444,444,1.37,103.9574
320051,51,1.32772,103.85602
320044,44,1.32741,103.85723
320046,46,1.32765,103.85692
320047,47,1.3275,103.8569
160042,42,1.28919,103.82662
320050,50,1.32769,103.85623
61004,4,1.33381,103.87929
320057,57,1.32843,103.85678
572514,514,1.35078,103.8504
440081,81,1.30264,103.90707
440085,85,1.30214,103.90675
440082,82,1.30248,103.90679
141043,43,1.2981,103.8026
540296,296,1.39712,103.89907
144055,55,1.29712,103.79737
680454,454,1.37899,103.73482
540320,320,1.39066,103.8911
680684,684,1.40414,103.74641
750502,502,1.45127,103.82168
650641,641,1.34899,103.75136
650639,639,1.34926,103.75204
680685,685,1.40408,103.74801
650630,630,1.35009,103.74991
750353,353,1.45108,103.81903
320052,52,1.32775,103.85588
731668,668,1.4386,103.79825
530461,461,1.37274,103.89463
734687,687,1.44165,103.80775
571505,505,1.34914,103.84864
682678,678,1.40248,103.74498
510445,445,1.37008,103.95778
731685,685,1.44147,103.8057
310172,172,1.33035,103.84305
570507,507,1.3489,103.84928
380051,51,1.31629,103.8789
731552,552,1.43245,103.79546
570504,504,1.3493,103.84848
380048,48,1.31776,103.87944
141037,37,1.29776,103.79775
573514,514,1.35064,103.85039
320038,38,1.32691,103.85649
310181,181,1.33362,103.85098
510751,751,1.37826,103.93377
140047,47,1.2982,103.80202
731762,762,1.44631,103.79588
821295,295,1.40192,103.90448
750503,503,1.45056,103.82197
650637,637,1.3496,103.75215
390041,41,1.30783,103.88476
141064,64,1.29917,103.7969
650642,642,1.34901,103.75171
650632,632,1.34941,103.75054
650638,638,1.34936,103.75232
760934,934,1.42576,103.83654
531830,830,1.37084,103.89066
122462,462,1.31145,103.76606
81008,8,1.38085,103.754
760935,935,1.42518,103.8366
760417,417,1.42442,103.84628
751337,337,1.44637,103.81565
650643,643,1.34898,103.75202
680475,475,1.37806,103.73893
520478,478,1.36132,103.95313
530363,363,1.3699,103.89639
544306,306,1.39013,103.88845
544299,299,1.39612,103.90167
530359,359,1.36914,103.89526
530358,358,1.36884,103.89559
731722,722,1.44506,103.79939
530814,814,1.3722,103.89313
750350,350,1.4501,103.82104
731515,515,1.43424,103.78992
142056,56,1.2967,103.80427
140052,52,1.29655,103.8035
650634,634,1.34974,103.75153
141050,50,1.29714,103.80379
381097,97,1.32111,103.88611
650640,640,1.3493,103.75166
650636,636,1.34963,103.75183
141053,53,1.29665,103.80362
121459,459,1.31159,103.76723
731672,672,1.43924,103.79941
732546,546,1.42928,103.79311
530463,463,1.37236,103.89497
530462,462,1.37223,103.89464
820179,179,1.39954,103.90893
820173,173,1.39729,103.90922
651391,391,1.36577,103.75235
460096,96,1.33326,103.94033
731638,638,1.4365,103.80317
460097,97,1.33297,103.93996
820176,176,1.39822,103.90916
793407,407,1.38892,103.87489
381052,52,1.31612,103.88053
141151,151,1.29486,103.80302
441014,14,1.30329,103.91507
462035,35,1.32454,103.92671
321093,93,1.32153,103.85426
150163,163,1.28388,103.81694
527201,201,1.35292,103.95386
571023,23,1.35478,103.83607
301001,1,1.32574,103.84303
151120,120,1.28671,103.80452
121353,353,1.31467,103.77058
526201,201,1.35248,103.95293
561206,206,1.36608,103.84338
460221,221,1.32516,103.93519
80001,1,1.27662,103.84116
85301,1,1.27745,103.84167
85201,1,1.2778,103.8414
85101,1,1.27784,103.84097
85401,1,1.27692,103.84149
730754,754,1.44552,103.79379
731749,749,1.4448,103.79431
520516,516,1.35667,103.93841
520517,517,1.35667,103.93925
85501,1,1.27662,103.84116
85601,1,1.27599,103.84119
85701,1,1.27553,103.84127
122441,441,1.31458,103.76416
121441,441,1.31463,103.76479
271019,19,1.31064,103.79151
371065,65,1.32723,103.88692
521720,720,1.35961,103.93575
671544,544,1.38166,103.764
161129,129,1.28098,103.82926
681430,430,1.38433,103.74168
681351,351,1.38322,103.74306
274005,5,1.30797,103.79636
641262,262,1.34566,103.70726
671175,175,1.37958,103.76628
411647,647,1.33149,103.90603
730567,567,1.4286,103.79114
401319,319,1.32812,103.90315
160025,25,1.28364,103.82596
561415,415,1.36437,103.85447
601324,324,1.34845,103.72961
200634,634,1.30606,103.85511
681440,440,1.38338,103.73967
680113,113,1.37805,103.75069
460136,136,1.32783,103.93521
320045,45,1.32754,103.85729
320056,56,1.32818,103.85669
320060,60,1.32796,103.85712
432005,5,1.30148,103.8835
164019,19,1.28529,103.82632
320062,62,1.32812,103.85755
320063,63,1.32856,103.85748
320053,53,1.32828,103.8561
320058,58,1.32836,103.85717
370078,78,1.32788,103.88522
331044,44,1.32286,103.86698
320054,54,1.32826,103.85629
540262,262,1.39511,103.89513
210014,14,1.31137,103.85156
570208,208,1.35493,103.84855
150125,125,1.28593,103.803
820195,195,1.40147,103.9067
331008,8,1.31669,103.86138
671524,524,1.3853,103.76617
670445,445,1.38374,103.77075
460115,115,1.33143,103.93687
320048,48,1.32761,103.85663
320042,42,1.32715,103.85696
640959,959,1.34148,103.69072
320055,55,1.32804,103.85667
640960,960,1.3414,103.69138
320064,64,1.32853,103.85785
570511,511,1.34923,103.8499
320043,43,1.32706,103.85707
160093,93,1.28976,103.83288
541247,247,1.39229,103.89934
541194,194,1.39295,103.90186
320059,59,1.32811,103.85713
160118,118,1.28198,103.82629
141044,44,1.29779,103.80266
540324,324,1.39315,103.8919
541148,148,1.39105,103.90538
131018,18,1.30791,103.78296
560158,158,1.37478,103.839
370077,77,1.32856,103.88535
540188,188,1.39481,103.90484
161027,27,1.28277,103.82468
561632,632,1.37949,103.84148
731765,765,1.44587,103.7971
731744,744,1.44281,103.7954
121431,431,1.31381,103.76302
311118,118,1.33965,103.84549
150123,123,1.28685,103.80402
671617,617,1.38559,103.76243
540302,302,1.3881,103.89144
530134,134,1.35046,103.88651
530130,130,1.35128,103.88649
731736,736,1.44331,103.79675
441032,32,1.30344,103.91184
142035,35,1.29704,103.79875
150162,162,1.28384,103.81747
671654,654,1.38756,103.76428
540307,307,1.39033,103.88677
151118,118,1.28413,103.82078
543200,200,1.38743,103.89242
530222,222,1.35633,103.88372
820200,200,1.39929,103.90307
731740,740,1.44478,103.79656
470111,111,1.32981,103.91009
543304,304,1.3883,103.88926
731732,732,1.44288,103.79822
550228,228,1.35636,103.87026
210677,677,1.31253,103.85514
550224,224,1.35721,103.87083
180001,1,1.30243,103.85474
530115,115,1.35276,103.88787
545206,206,1.38661,103.8972
820203,203,1.39899,103.90385
611117,117,1.33537,103.72348
821293,293,1.40346,103.90484
150084,84,1.28709,103.81885
550229,229,1.35598,103.87028
611120,120,1.3356,103.72453
371064,64,1.32662,103.88728
