Aerosol Can,Air-Conditioners,Backpacks,Baking Glassware,Bedding,Beds,Bedsheets,Beer Bottle,Belts,Biscuit Tin,Biscuits,Blouses,Board Games,Bodywash Bottle,Book,Brochure,Bubble Wrap,CD,CD Case,Calendar,Canned Food Can,Canned Food/Drinks,Car Seats,Carriers,Carton Box,Cassette Tape,Ceramic,Chairs,Clothes Dryers,Coffee Capsules,Computers,Condiment Bottle,Contact Lens Blister,Crockery,Cutlery,Desktop Monitors,Detergent Bottle,Diaper,Disposable Wooden Chopstick,Dolls,Drinking Straw,Egg Tray,Electric Mobility Scooters,Facial Cleanser Bottle,Flyer,Food Jar,Gift Wrapping Paper,Glass Bowl,Glass Cosmetic Bottle,Glass Cup,Glass Drink Bottle,Glass Medicine Bottle,Glass Plate,Greeting Card,Handbags,High Chairs,Instant Noodle Bag,Instant Noodles,Irons,Jam Bottle,Juice Carton,Laptops,Light Bulbs,Long Fluorescent Tubes,Magazine,Magazine Wrapper,Markers,Medicine Blister Pack,Melamine,Metal Bottle Cap,Metal Drink Can,Milk Carton,Mirror,Mobile Telephones,Modems,Namecard,Network Hubs,Newspaper,Ovens,Packet Drink,Paint Container,Pants,Paper Bag,Paper Cup,Paper Envelope,Paper Envelope With Window,Paper Packaging,Paper Plate,Paper Receipt,Paper Towel,Paper Towel Roll,Pencils,Pens,Personal Mobility Devices,Plant,Plastic Bag,Plastic Clothes Hanger,Plastic Cutlery,Plastic Drink Bottle,Plastic Egg Tray,Plastic Film Packaging,Plastic Food Bottle,Plastic Takeaway Container,Potato Chip Bag,Power Assisted Bicycles,Prams,Printed Paper,Printer Ink Cartridge,Printers,Pyrex Glass,Red Packet,Refrigerators,Reusable Bags,Rice,Rice Cookers,Routers,Sandals,Sanitary Pad,Sauce Bottle,Servers,Set-Top Boxes,Shampoo Bottle,Shirts,Shorts,Shredded Paper,Skirts,Slippers,Sofas,Soft Toys,Sports Shoes,Styrofoam,Sunglasses,Switches,Tables,Tablets,Telephone Directory,Televisions,Tissue Box,Tissue Paper,Toasters,Toilet Paper,Toilet Paper Roll,Towels,Toy Cars,Toys,Video Tape,Walkers,Washing Machines,Watches,Wax Paper,Windows,Wine Bottle,Wireless Access Points,Writing Paper
10.0,2.0,,2.0,2.0,2.0,,8.0,,4.0,2.0,,,4.0,66.0,2.0,,,35.0,,8.0,135.0,,,,2.0,,,,198.0,2.0,,,,2.0,2.0,8.0,,2.0,,2.0,,,10.0,2.0,,,,14554.0,,,8.0,,,7.0,,,2.0,,,,2.0,5.0,,,23.0,,4.0,,2.0,2.0,,,2.0,,,2.0,,,,4.0,,,,2.0,,,,,14.0,,,,,,,2.0,,,,,2.0,,9.0,,,,,,2.0,,,11.0,,,,,,,,,6.0,2.0,,,2.0,,0.0,,,72.0,,,2.0,,,,427989.0,,,,2.0,,2.0,,,,,,,,,,
0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,0.0,,,,,,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,,,0.0,,0.0,,,,,,,,,,
0.1,0.1,,0.1,0.1,0.1,,0.1,,0.1,0.1,,,0.1,0.1,0.1,,,0.1,,0.1,0.1,,,,0.1,,,,0.1,0.1,,,,0.1,0.1,0.1,,0.1,,0.1,,,0.1,0.1,,,,0.1,,,0.1,,,0.1,,,0.1,,,,0.1,0.1,,,0.1,,0.1,,0.1,0.1,,,0.1,,,0.1,,,,0.1,,,,0.1,,,,,0.1,,,,,,,0.1,,,,,0.1,,0.1,,,,,,0.1,,,0.1,,,,,,,,,0.1,0.1,,,0.1,,0.1,,,0.1,,,0.1,,,,0.1,,,,0.1,,0.1,,,,,,,,,,
0.1,0.1,,0.1,0.1,0.1,,0.1,,0.1,0.1,,,0.1,0.1,0.1,,,0.1,,0.1,0.1,,,,0.1,,,,0.1,0.1,,,,0.1,0.1,0.1,,0.1,,0.1,,,0.1,0.1,,,,0.1,,,0.1,,,0.1,,,0.1,,,,0.1,0.1,,,0.1,,0.1,,0.1,0.1,,,0.1,,,0.1,,,,0.1,,,,0.1,,,,,0.1,,,,,,,0.1,,,,,0.1,,0.1,,,,,,0.1,,,0.1,,,,,,,,,0.1,0.1,,,0.1,,0.1,,,0.1,,,0.1,,,,0.1,,,,0.1,,0.1,,,,,,,,,,
5.005,0.505,,0.505,0.505,0.505,,4.005,,1.505,1.005,,,1.505,1.005,0.5049999999999999,,,1.005,,3.505,1.005,,,,1.005,,,,1.005,0.505,,,,0.505,0.505,3.505,,0.505,,0.5049999999999999,,,5.005,0.505,,,,5.005,,,3.5050000000000003,,,0.505,,,0.505,,,,0.505,0.505,,,0.505,,1.005,,0.505,0.5049999999999999,,,0.505,,,0.505,,,,2.005,,,,0.5049999999999999,,,,,0.505,,,,,,,0.505,,,,,0.505,,1.005,,,,,,0.505,,,1.005,,,,,,,,,3.005,0.505,,,0.505,,0.005,,,1.005,,,0.5049999999999999,,,,1.005,,,,0.505,,0.505,,,,,,,,,,
