Alba,Alba,Alba E-waste Smart Recycling,Alba E-waste Smart Recycling,Ezi,Ezi,Gee Hoe Seng Pte Ltd,Gee Hoe Seng Pte Ltd,Greensquare,Greensquare,PWC-800 Super,PWC-800 Super,PWC-Alba-WH,PWC-Alba-WH,PWC-Sembwaste,PWC-Sembwaste,Passiton.org,Passiton.org,Salvation Army,Salvation Army,Tidy,Tidy
lower,upper,lower,upper,lower,upper,lower,upper,lower,upper,lower,upper,lower,upper,lower,upper,lower,upper,lower,upper,lower,upper
4.0,5.0,4.0,5.0,7.0,763.0,6.0,7.0,0.0,1.0,6.0,7.0,6.0,7.0,5.0,6.0,10.0,11.0,6.0,7.0,13.0,14.0
-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0,-50.0,50.0
0.01,0.5,0.01,0.5,0.01,0.5,0.01,0.5,0.01,0.5,0.01,0.5,0.01,0.5,0.01,0.5,0.01,0.5,0.01,0.5,0.01,0.5
0.01,2.0,0.01,2.0,0.01,2.0,0.01,2.0,0.01,2.0,0.01,2.0,0.01,2.0,0.01,2.0,0.01,2.0,0.01,2.0,0.01,2.0
0.0,4.01,0.0,4.01,0.0,4.01,0.0,6.01,0.0,4.01,0.0,6.01,0.0,6.01,0.0,5.01,0.0,10.01,0.0,6.01,0.0,13.01
